title,lyrics
Воспоминания о Былой Любви,Инструментальная композиция
Волоскрад,"ВСТУПЛЕНИЕ:

Луна средь звезд на темном пастбище блуждала,
(Трактир был слева, справа лес стоял стеной)
И с высоты она безмолвно наблюдала за тем,
Кто всюду по пятам ходил за мной.

В пустом трактире за столом сидел я молча.
Курил махорку я и думал о своем.
Взглянул в окно, стал любоваться темной ночью,
Крыльцо увидел - человек лежал на нем.

Раздался гром, и ветер, тучи нагоняя,
Резвился в поле. Дождь струился проливной.
А тот, на улице, валялся не вставая,
Видать конкретно его хмель сразил пивной!

Решив помочь ему, я вышел в непогоду
И удивился - это был столетний дед!
Он прохрипел, из уст выплевывая воду:
""Я как и ты! Мне еще только тридцать лет!""

Он умер, мы его в сарае положили.
Трактирщик начал мне рассказывать о том,
Что силы зла на них проклятье наложили,
Прислав посланца к ним с рогами и хвостом.

""Эй, друг, что за горе
Постигло ваши края?
Что за зло на воле?""
Спросил трактирщика я.

Припев:

В зловещем тумане он жертву находит.
Он тихо крадется у вас за спиной.
И глядя, как с вами беда происходит,
Он дико смеется и брызжет слюной!

""Жить нам стало худо -
Исчезла вся молодежь!
Уезжай скорее отсюда!
Ты здесь лишь гибель найдешь.""

(Припев)

Не зря трактирщик распинался -
Он, гад, служил сатане!
Сзади тихо черт подкрался,
Вцепился в волосы мне.

Услышав черта мерзкий голос,
Ему с размаху в рыло дал!
Но, теряя каждый волос,
Год жизни я терял!

(Припев)

Теперь я знаю - у чертей полно идей!
Коварством, хитростью свой опыт добывают.
Но хуже нам, когда среди людей
У них сообщники бывают!  "
Мёртвый Анархист,"Ослепший старый маг
Ночью по лесу бродил.
На кладбище разлил
Он волшебный эликсир,
И лишь проговорил:
""Что ж я, старый, натворил!""

Трупы оживали,
Землю разрывали,
Всюду выползали,
Дико бушевали,
Глотки драли,
Все вокруг ломали,
Рвали свою плоть.

Это место
Люди не любили,
Потому что здесь
Гадов хоронили.
Все они водку пили -
Проклятыми были.

Припев:

Среди ублюдков шел артист
В кожаном плаще,
Мертвый анархист.
Крикнул он: ""ХОЙ!!!
ЧЕЛЮСТЬ ДОЛОЙ!!!""
Трупов вел он за собой.

Бешено в деревню
Мертвые ворвались!
В свете фонарей
Их рожи показались.
Дрались и по полной отрывались -
Шли дома громить.

Взяли люди
Топоры и вилы,
Чтобы мертвецов
Загнать в свои могилы,
Но на это
Не хватило силы -
Трупов не убить!

(Припев)

Был на руке застывший ФАК,
Из кармана торчал пиратский флаг.
Зомби всю ночь кричали: ""ХОЙ!!!
Мы, анархисты, народ не злой! ""

Что за наваждение!
Без предупреждения
На отрока напали,
Сильно напугали,
Смеялись и толкались,
Парнишку заставляли
Пого танцевать!

Что есть мочи
Женщины визжали,
И крестьяне
В панике бежали.
Трупы дохли,
Снова оживали,
Ржали людям вслед.

(Припев)

В жизни артист веселым был,
И нажраться он всегда любил.
Утро крестьянам помогло -
Солнце трупы
За пол часа сожгло,
Но в тишине ночной
В подвале кто-то рявкнул ""ХОЙ!!!""  "
Смешной Совет,"Столетний шут
Схватил за плечи внука:
""Запомни, плут,
Что жизнь смешная штука!

Когда тебя беда
В потоке дней найдет,
Засмейся ты тогда -
И все пройдет!""

Шут умирал,
Пытаясь улыбаться,
Все повторял:
""Учись, малыш, смеяться!

Проблемы есть у всех,
Но это полный бред!
Веселый звонкий смех -
И горя нет!

Вскочил пацан,
И, следуя совету,
Смеяться глупо стал -
Ума как будто нету!

От этих звуков дед
Умчался на тот свет,
Оставив на земле
Смешной совет.  "
Некромант,"-Чем я заслужил судьбу несчастного изгоя?!
Постоянно доставать себя вопросом: КТО Я?!!
Мысли, что я демон, часто выжить помогали.
Люди же повсюду так меня и называли.

Припев:

Ты, зловещая луна,
В мои муки влюблена!
Отобрав души покой,
Что ты делаешь со мной?
Может, ты мне дашь ответ,
Почему весь белый свет
Обозлился на меня?
Для чего родился я?

-Помню, как толпа крестьян убить меня хотела,
После инквизиторы калечили мне тело!
Все восстало против молодого некроманта,
Сделав меня мучеником моего таланта.

На половину человек - на половину я мертвец!
Таким останусь я навек,
Я будто волк среди овец!
Полна страданий жизнь моя,
Но выбор сделанный судьбой
Нет! Изменить не в силах я,
Война с самим собой!!!

(Припев)

-Люди мне враги, а ведь когда-то были братья!
Я на всю округу наложил свое проклятье -
Гибнут урожаи, а вокруг чума и голод,
И ветра залетные приносят жуткий холод!

(Припев)  "
Защитник Свиней,"Где справедливость?
Уж который год
Жители предгорий
(Очень мирный народ)
Страдали от того,
Что старый вампир
Таскал их свиней
И кровь у них пил!

Послали к вампиру
Степана-детину.

Среди скал
Парень логово искал
Там, где старый вампир
Чужую кровь пил.
И в его словах
Степан услыхал
Угрозу и насмешку
""Ты попал!""

""Плохая идея -
Быть гостем злодея""

Припев:

Что тебе здесь надо?
дурачок!!!
Водки выпить надо,
старичок!
В гости ко мне
Мало кто заходит!
Все же на обед
Выгоды мне нет
Кушать тебя -
Люди мне приелись""

В этот миг
Вдруг детина поник
""Что ты дурачком меня
Дразнишь старик?
Я такой же, как ты
Ненавижу свиней,
Потому что все смеются,
Что я хряка дурней!

Их всех ненавижу
В гробу я их вижу!""

(Припев)

""По утру вдвоем
Бить свиней пойдем
Мы с тобой, вампир,
Славный будет пир!"".  "
Генрих и Смерть,"Шах и мат -
Генрих рад!
Он - король
На белом коне.
Как всегда,
При дворе
Равных нету мне! 
Без побед
Счастья нет,
И всего
За несколько лет
Он разбил, одолел
Всех, кого хотел.

Припев:

Жизни воинов шахматной доски
В битве рвались, словно волоски.

И настал
Тот момент,
Что врагов
Вроде бы нет.
Он тогда
Смерть позвал,
С ней играть он стал.

Припев:

Жизни воинов шахматной доски
В битве рвались, словно волоски.
Ночь раздумий полна,
Чаша выпита до дна!
Свечи за спиной
Гаснут по одной.

Села смерть
С ним за стол,
Умертвила взглядом коня,
Посягнув на престол
Белого короля.

И его каждый ход
Она знает
Наперед,
Сделать шах
Не дает,
Бой к концу идет.

(Припев)

Генрих растерянный поднял взгляд,
Не привык он слышать слово ""МАТ""!
В гневе он был оттого,
Что пешкою свергли его.
Смерть не объяснила ни чего.  "
"Жаль, нет Ружья!","Скрипели старые колеса у телеги.
Кобыла шлепала копытом по грязи.
Уставший дед курил и думал о ночлеге.
Кобыле молвил он: ""Быстрей в село вези!""

Но та тревожно в сторону леса поглядела.
Волков почуяла!,- смекнул тотчас же дед.
""Скачи галопом, коли жить не надоело,
Пока не выскочил лохматый наш сосед!"".

Припев:

""Жаль, нет ружья!
Свирепый хищник
Под вечер чертовски опасен!
А до села
Немало верст,
Путь в тумане кобыле неясен.
ГОНИ!!!""

Но вдруг кобыла резко в сторону метнулась,
Порвала вожжи и помчалась вихрем прочь.
Телега на бок в тот же миг перевернулась,
И дедушка был скушан в эту ночь!  "
Представляю Я,"Вот на стуле я сижу,
Во все стороны гляжу.
Представляю я себя
В виде грозного царя.

Но больная голова
Мне все портить начала,
И теперь представил я,
Будто свергнули меня!

Убегаю я, но вот
Окружил меня народ!
Выстрел, крик, в крови земля,
И у дуба дохлый я!  "
Мой Характер,"Мой характер был непрост,
В силу ум ушел и в рост,
Но такой уж был мой нрав -
Драться с теми, кто не прав.

Я хотел быть крутым
И возненавидел
Слабости, что в себе иногда я видел,
Чтоб избавить голову от мыслей,
Бился я головой об пол.

Припев:

Я надолго пропал,
Перебрался жить в подвал,
А когда, наконец,
Я оттуда вышел -
Очень правильным стал,
Сам себя не узнавал,
Часто собственный вой
Из подвала слышал:
""ХЕЙ!!! БУДЬ ТЫ ПРОКЛЯТ!!!"" -
Он кричал, грызя зубами стену.

Был я раньше дураком -
Стал отличным мужиком,
Что хотел, то получил,
Жизни я других учил.

А внизу демон мой
Страшно бился головой
И кричал: ""Ты со мной зря так поступаешь!
Что ты сделал - ты не понимаешь!""
Бился я головой об пол.

Припев:

Полюбил вскоре я
Рев железного коня,
Ветер бился о плоть
Кожаных доспехов.
И за мной тут и там
Демон мчался по пятам
И противился он
Всем моим успехам:
""ХЕЙ!!! БУДЬ ТЫ ПРОКЛЯТ!!!"" -
Он кричал, грызя зубами стену.

И сердце биться
Не перестанет.
Может случиться,
Враг мой отстанет
ИЛИ ВЫТРЕТ НОГИ ОБ МЕНЯ!  "
Песенка Пьяного Деда,"Нынче я опять проснулся
У собачьей конуры,
И опять меня старуха
Не пустила на порог.

От обиды я чуть было
Как собака не завыл!
Кто б меня опохмелил
И встать на ноги помог!

Припев:

Нет уваженья к старику!
Вроде седая голова!
На черта завел себе жену -
Она всегда старухою была.

Собака морду положила
На обгрызанную кость -
Посиделки с дедом старым
Не нужны ей здесь и даром!

Неприятен ей, как видно
Пьяный бородатый гость,
От которого, к тому-же,
Жутко веет ПЕРЕГАРОМ.

Припев:

Ты уж, собачка, не брани - Я бы не стал тебе мешать! Мне просто не куда идти, К тому же очень трудно встать!  "
Водяной,"В лесном пруду
Вода играла
В солнечных лучах.
С охоты шел Капитон,
Бобра нес на плечах.

Знойной порой
Дорогой лесной
Домой он брел устало.
У пруда, как всегда,
Он встал,
Рожу мыть стал.

Припев:

Освежает иногда
В зной холодная вода
Чтобы не стряслась беда
Эй, мужик, не лезь туда!

Но сильно искажала
Отражение вода.
""Какой урод,
Вот это да!
В пиявках вся борода.
Вот ерунда -
Четыре ведра
Как будто браги выпил,
Постарел, подурнел, оброс,
Паршивый, как пес!!!""

(Припев)

Вскоре очень злой
Вылез водяной:
""Ты что, ЛОПУХ!
Совсем, мужик опух?
Я в своем пруду
Таких не потерплю!
Еще увижу - сразу утоплю!""

""Я прошу владыку пруда
Извинить меня!
Просто, видя Вас,
Думал - ЭТО Я!""  "
Вдова и Горбун,"В одном селе жила
несчастная вдова,
С тех пор, как помер муж,
Все одинешенька была.
C рассвета до темна
Спасалась, как могла
От соседа Иоганна-горбуна.

Горбатый Иоганн
На внешность был поган,
И в обращеньи с женщиной
Был просто хулиган.
Бодался как баран
И хрюкал как кабан,
Его б, такого, - в клетку
И на балаган.

Припев:

Проклятый Горбун, чего тебе надо?
С тобой не хочу я стоять даже рядом!
Оставь ты меня, горемыку, в покое
И хватит следить отовсюду за мною!

Был зимний вечерок.
Горбатый весь продрог,
Пока вдову в сарае,
Наконец, не подстерег.
Он сбил соседку с ног,
На сено поволок,
С коварным смехом
В самый темный уголок.

И ничего вдова
Поделать не могла,
Шепнула Иоганну,
Что разденется сама.
Твоя, Горбун, взяла!
Слукавила она,
Рукой нащупав в сене
Ручку топора.

В истерике Горбун
Ревел, как граммофон,
Вертелся как волчок,
Как мячик прыгал он.
С разгону вышиб дверь
Своим могучим лбом,
Бежал из дома прочь
С отрубленным горбом.  "
Вино Хоббитов,"Никто не знал,
Что будет праздник в этот день.
Но, все равно, явились все,
Кому не лень.

Уж так в деревне повелось -
Резвись, коль выпить удалось!
И даже гоблин-борода
С холмов пришел сюда!

Припев:

Пели песни до утра,
Пого танцевали!
Каждый наливал вина,
Пить не уставали.

Был странный вкус,
Но людям было наплевать -
Не дуя в ус
Напились, и давай гулять!

Какая разница, что пьешь -
Себе и ближнему налей!
Чем больше в рот себе вольешь,
Тем будет веселей!

(Припев)

И только гоблин, как бревно,
Упал и распростерся ниц,
Узнав, что хоббиты вино
Варили из ЯИЦ!

(Припев)

Ведь простой народ
Что попало пьет,
Если это, хоть немного,
По мозгам дает.

Все придут на пир,
Лишь бы повод был.
""Сладок уксус на халяву!"",-
Кто-то говорил.

В деревню хоббиты пришли
И принесли вино.
И местный староста тогда
На праздник дал добро.
В их появлении был скрыт
Бесхитростный расчет:
""Мы людям принесем вино -
Они же нам дадут за это мед!""  "
Разборки из-за Баб,"ВСТУПЛЕНИЕ:

Награбленных денег хватило надолго!
Кабак стал обителью наших страстей.
Мы тратили время без всякого толка,
Запасы спиртного топили гостей.
Сидел я с бутылкой среди обалдевших,
Опухших, едва узнаваемых лиц,
Товарищей пьяных, увы, не сумевших
В ту ночь поделить двух распутных девиц!

Начался дебош и хаос!
Принесли вина и рому,
Первый выстрел сделал КЛАУС
Продырявив бок НЕМОМУ.

Припев:

Тут все
Как с цепи сорвались,
Позабыли о том, что
МЫ - КОМАНДА!!!
Девки
Под столы забрались,
Глядя, как уменьшалась
НАША БАНДА!!!

Вдруг КОСОЙ вскочил со стула:
Пуля - дура виновата!
На ГУСЯ направил дуло,
А пристрелил родного брата.

(Припев)

ГРОМИЛА резко вскочил,
БАЛБЕС леща получил,
Но КЛАУС выхватил нож
Кричал: ""БАЛБЕСА не трожь!!!""
КОСОЙ из бочки палил,
НЕМОГО сдуру добил.
ГРОМИЛА крышку закрыл -
КОСОГО утопил!

(Припев)  "
Утопленник,"Однажды, набравшись, я вылез в окно,
На речку лениво взглянул.
Вода была красная, будто вино,
У берега кто-то тонул.
Я мог бы, наверно, бедняге помочь,
Но ноги пошли ни туда.
Вдруг крик оборвался, и сгинул он прочь,
И стала спокойной вода.

И с тех пор молящий взгляд его
Преследовал меня,
Стал я чаще пить вино
И проклинал тот день я!

Припев:

Жуткая ночь хохотала потоками ливня, В шуме воды мне послышались чьи-то шаги, Я мертвеца у себя на пороге увидел, И голос ужасный его прокричал: ""ПОМОГИ !!!"" 
Об пол разлетелась бутылка вина,
Ужасным казался мне гость!
И боль, как огнем мне плечо обожгла,
И пальцы вонзились мне в кость.
В проклятой реке поднималась вода,
Затапливая острова.
Я вмиг протрезвел и помчался туда,
Где рыбацкая лодка была.

Теченьем лодку уносило,
Я зацепиться чудом смог.
За борт держась, собравшись с силой,
Залез в нее, на днище лег.

(Припев)

Всю ночь провалялся без памяти я,
Очнулся с больной головой.
Причалила к берегу лодка моя.
Не помню, что было со мной!
В кармане лежала бутылка вина,
Но я удивляться не стал,
А просто открыл, начал пить из горла
И вдруг над собой увидал,

Как тучи небо закрывают,
И не видно им конца!
Раскаты грома вызывают
Из речки тело МЕРТВЕЦА!  "
Медведь,"Я жив, покуда
Я верю в чудо,
Но должен буду
Я умереть.

Мне очень грустно,
Что в сердце пусто,
Все мои чувства
Забрал медведь.

Моя судьба
Мне не подвластна,
Любовь моя,
Как смерть, опасна.

Я был медведем -
Проблем не знал.
Зачем людских
Кровей я стал?

Забрали чары
Души покой.
Возник вопрос -
Кто я такой?

Мой бедный разум
Дошел не сразу
До странной мысли -
Я человек!

Колдун был пьяный,
Весьма упрямый,
Его не видеть
Бы мне вовек!

Моя судьба
Мне не подвластна,
Любовь моя,
Как смерть, опасна

Погаснет день,
Луна проснется,
И снова зверь
Во мне очнется,

И оборвется
Тут, словно нить
Мой дар на двух
Ногах ходить.  "
Пьянка,"Деревья тихо шепчутся,
Макушками качая,
И совсем внимания
На нас не обращая.

Приятный теплый вечер
В молчании застыл.
Петух притих в сарае,
Горланить прекратил

Припев:

А в голове шумит,
И ангелы летают,
И все проблемы тают, исчезают:

И в поле на пшенице
Мы славно отдыхаем,
Бутылку за бутылкой
Мы лихо пропускаем.

Уж в животе бурлит
Родная водка русская,
Она там разгулялась
Со свежею закускою.

(Припев)

Сегодня не пойдем
Буянить по дороге,
Тем более, что нас
Не держат наши ноги.

И песню затянув
Да голосами пьяными,
Здесь в поле мы останемся
Ждать восход румяный.  "
Волосокрад,"ВСТУПЛЕНИЕ:

Луна средь звезд на темном пастбище блуждала,
(Трактир был слева, справа лес стоял стеной)
И с высоты она безмолвно наблюдала за тем,
Кто всюду по пятам ходил за мной.

В пустом трактире за столом сидел я молча.
Курил махорку я и думал о своем.
Взглянул в окно, стал любоваться темной ночью,
Крыльцо увидел - человек лежал на нем.

Раздался гром, и ветер, тучи нагоняя,
Резвился в поле. Дождь струился проливной.
А тот, на улице, валялся не вставая,
Видать конкретно его хмель сразил пивной!

Решив помочь ему, я вышел в непогоду
И удивился - это был столетний дед!
Он прохрипел, из уст выплевывая воду:
""Я как и ты! Мне еще только тридцать лет!""

Он умер, мы его в сарае положили.
Трактирщик начал мне рассказывать о том,
Что силы зла на них проклятье наложили,
Прислав посланца к ним с рогами и хвостом.

""Эй, друг, что за горе
Постигло ваши края?
Что за зло на воле?""
Спросил трактирщика я.

Припев:
В зловещем тумане он жертву находит.
Он тихо крадется у вас за спиной.
И глядя, как с вами беда происходит,
Он дико смеется и брызжет слюной!

""Жить нам стало худо -
Исчезла вся молодежь!
Уезжай скорее отсюда!
Ты здесь лишь гибель найдешь.""

Припев:
В зловещем тумане он жертву находит.
Он тихо крадется у вас за спиной.
И глядя, как с вами беда происходит,
Он дико смеется и брызжет слюной!

Не зря трактирщик распинался -
Он, гад, служил сатане!
Сзади тихо черт подкрался,
Вцепился в волосы мне.

Услышав черта мерзкий голос,
Ему с размаху в рыло дал!
Но, теряя каждый волос,
Год жизни я терял!

Припев:
В зловещем тумане он жертву находит.
Он тихо крадется у вас за спиной.
И глядя, как с вами беда происходит,
Он дико смеется и брызжет слюной!

Теперь я знаю - у чертей полно идей!
Коварством, хитростью свой опыт добывают.
Но хуже нам, когда среди людей
У них сообщники бывают!  "
Ели Мясо Мужики,"За столом сидели, мужики и ели -
Мясом конюх угощал своих гостей.
Все расхваливали ужин и хозяин весел был,
О жене своей все время говорил!

Припев:
Ели мясо мужики, пивом запивали!
О чем конюх говорил, они не понимали!

""Я узнал недавно, все вы, как ни странно, -
Конюх хриплым голосом проговорил,-
С моей бабою встречались в тайне от меня
И поэтому всех вас собрал сегодня Я!""

Припев:
Ели мясо мужики, пивом запивали!
О чем конюх говорил, они не понимали!

Я за ней не уследил!
В том моя вина!
Но скажите,
Правда вкусная она?

Припев:
Ели мясо мужики, пивом запивали!
О чем конюх говорил, они не понимали!   "
"Он не знает, что такое жить!","Вечерело, солнце опускалось,
Вячеслав заснул на гамаке.
Одолела мальчика усталость,
Кровь текла по раненой щеке...

И ничто парнишку не разбудит,
Гром не в силах парня разбудить!
Мальчик больше жить уже не будет,
Он не знает, что такое жить!  "
Запрет Отца,"Суров запрет сердитого отца,
Он не велит ей замуж выходить.
Но перед нею образ молодца,
Она его не может разлюбить.

Исчезновенье парня на селе
Родило в ней тревогу и печаль.
В тот день её отец повеселел,
Пропавшего в лесу ему не жаль.

Спустилась ночь, погасли фонари.
Девица в доме не смыкает глаз.
Вдруг слышит она шорох у двери.
Но кто решил явиться в этот час?

Гремят знакомые тяжёлые шаги,
Вот тьме застыл отцовский силуэт.
В руках мешок, торчат оттуда сапоги.
""Его загрызли волки, его больше нет"".

К мешку девица тихо подошла.
""Я не могу поверить в этот вздор"".
И мертвеца внутри она нашла,
Из головы его торчал большой топор!

""Ты только, дочка, батьку не брани, 
Он бы не смог, поверь мне, дальше жить.
Он был в ужасных ранах и лежал в крови,
Я пожалел беднягу и решил добить"".  "
Мастер Приглашает в Гости,"Вечером к столу мастер пригласил
Верного слугу и его спросил -
""Сколько раз ты, встречая моих гостей,
никого никогда за дверь не провожал?
И ты поймёшь теперь, что я в тайне держал.

Припев:
В те дни, когда я в настроении бываю,
Сидя у огня, черепа перебираю"".

Преданный слуга улыбнулся тут:
""Я любил всегда свой нелёгкий труд!
По ночам сижу, за ножом слежу, 
Фигурки вырезаю из костей,
С ремеслом дружу, обожаю гостей!""

Припев:
В те дни, когда я в настроении бываю,
Сидя у огня, черепа перебираю"".
Все те, кто не прочь поразмять немного кости - 
Вас ждут в эту ночь - мастер приглашает в гости!  "
Паника в Селе,"Паника в селе - дед взбесился.
Вилами колет всех, кого видит.
Шум, гам, лают собаки,
Бегают люди, хлопают ставни,
Бабы визжат.

Припев:
Беда! Паника в селе!
С ума спятил дед!
В одних он трусах! 
И ужас в его глазах! 

Старуху его разыскали,
Она от страха вся побледнела:
""Дед, мол черта увидел,
Тот ему, сволочь,
Мозги запутал - 
Мол, нынче помрешь!""

Припев:
Беда! Паника в селе!
С ума спятил дед!
В одних он трусах! 
И ужас в его глазах! 

Бедного старика черт попутал,
Такого ему наговорил, ага!
Много ли старому дураку надо,
Чтоб рассудок потерять!

К тому же он пьет как бык! 
К тому же он пьет как бык!
К тому же он пьет как бык!
К тому же он пьет как бык!  "
Воспоминание О Былой Любви,"Дремлет за горой, мрачный замок мой.
Душу мучает порой, царящий в нем покой.
Я своих фантазий страждущий герой,
А любви моей живой все образы со мной.

Припев:
Я часто вижу страх в смотрящих на меня глазах.
Им суждено уснуть в моих стенах,
Застыть в моих мирах.
Но сердце от любви горит, моя душа болит.
И восковых фигур прекрасен вид -
Покой везде царит!

Я их приводил в свой прекрасный дом.
Их вином поил и развлекались мы потом.
Иногда у них легкий был испуг,
От прикосновений к нежной шее крепких рук.

Припев:
Я часто вижу страх в смотрящих на меня глазах.
Им суждено уснуть в моих стенах,
Застыть в моих мирах.
Но сердце от любви горит, моя душа болит.
И восковых фигур прекрасен вид -
Покой везде царит!

Вот несет одна мне свои цветы,
Вот стоит другая, погруженная в мечты.
Я пытался их до смерти рассмешить,
Но пришлось, как в старой сказке, просто задушить!

Припев:
Я часто вижу страх в смотрящих на меня глазах.
Им суждено уснуть в моих стенах,
Застыть в моих мирах.
Но сердце от любви горит, моя душа болит.
И восковых фигур прекрасен вид -
Покой везде царит!  "
Камнем По Голове,"В провинциальном городке
Был праздник, музыка звучала,
Но вот в ликующей толпе
Возник зловещий лик бродяги...
Он шел, как будто бы один,
Толпа его не замечала.
И как-то странно на него
Смотрели местные собаки...

Припев:

В черном цилиндре, в наряде старинном,
В город на праздник путник очень спешил.
По горам пробирался и улыбался,
Но камень сорвался в пропасть с горных вершин...

Был грязный плащ на нем одет,
Цилиндр черный смят в гармошку,
Себе под ноги он глядел,
А в кулаке сжимал он маску.
Но кто-то крикнул вдруг: ""Привет!
Повеселился б ты немножко.
В такой веселый светлый день
Как можно быть таким несчастным?""

(Припев)

И проходимец поднял взгляд,
И злобным голосом ответил:
""Я всех замучить был бы рад
И от того я так невесел.
Я в маске рыжей обезьяны
На праздник к вам попасть мечтал,
Когда б не камень окаянный,
Что мне на голову упал!""

(Припев)  "
Хардкор по-русски,"Как известно на Руси,
Лучше Ваньку не беси!
А то схватит он топор
И пойдёт рубить ХАРДКОР!

Припев:
Эй, братья! Нам ли горевать!
Ноги в руки брать и вражину гнать!
Эй, братья! Кто там прёт опять?
Разгоним злую рать и айда гулять!!!

Если землю твою, князь
Топчет иноземна мразь, 
Если грозен враг твой стал,
Значит, врежь ему - МЕТАЛЛ!

Припев:
Эй, братья! Нам ли горевать!
Ноги в руки брать и вражину гнать!
Эй, братья! Кто там прёт опять?
Разгоним злую рать и айда гулять!!!

А за Волгой кушал снег
Оборзевший печенег, 
А с востока прёт монгол,
Скоро будет РОК-Н-РОЛЛ! 

Если же в бою ты поймал кураж, 
Хэй! Хой! Хэй! - Зарубаешь ГРАНЖ!
А как только враг помчится наутёк, 
Веселись, зарубай ПАНК - РОК!!!  "
Волшебный глаз старика Алонса,"Чудак Алонс дурацкий трюк проделывал не раз, 
Кладя в стакан перед собой косой свой левый глаз, 
Готов за деньги был старик свой фокус повторять, 
За всеми из стакана мог он глазом наблюдать.

Припев:
Из стакана мутный глаз, 
Пристально глядит на вас, 
И внушает глаз опять, 
Деньги деду все отдать!

Молва ходила, будто дед крутой гипнотизер, 
Из любопытных наших душ он все святое пёр, 
Он ни по дням, а по часам жирел и богател, 
Теперь у сельских мужиков он жен забрать хотел!

Припев:
Из стакана мутный глаз, 
Пристально глядит на вас, 
И внушает глаз опять, 
Деду жен своих отдать!

Но за обедом как-то раз, 
Старик сожрал случайно глаз, 
На вкус он был чертовски плох, 
Алонс поморщился и сдох!  "
Исповедь вампира,"Глазами зверя вижу мир!
Путь мой вечен...
Я классный парень, я вампир!
Бесконечен...
Есть у меня интерес большой, 
Любопытно мне!
Что называете вы душой?!
Слабость, лелея тайком свою в уме!!!

Я убеждаюсь вновь и вновь!
Убеждаюсь...
У негодяев слаще кровь!
Наслаждаюсь...
Я не кусаю всех подряд, 
Жертву выбираю, 
Обычно это сладкий гад!

Припев:
Но я живу, не видя дня
Во мраке бесконечной ночи
И нет надежды у меня
В гробу смыкаю свои очи.

Вся жизнь вампира сущий ад!
Мое время...
Вы рады жизни - я смерти рад!
Мое бремя...
Я к людям добрый, злобы нет, 
Откуда злобе взяться?
Ведь для меня они обед, 

Припев:
Но я живу, не видя дня, 
Во мраке бесконечной ночи,
И нет надежды у меня, 
В гробу смыкаю свои очи.  "
Месть Гарри,"Жизнь была хороша, свободная разбойничья душа!
А теперь, точно в ряд, валяются бандиты, будто спят, 
Гарри нам удружил - в еду, мерзавец, яду подложил, 
Не успел убежать, и пули в лоб ему не избежать!

Припев:
А ну-ка, выбей, брат, 
Ему последний зуб!!!
Мы все покойники, 
Он тоже будет труп!!!

Всем гореть нам в аду! Стервятники почуяли еду!
Каждый, кто умирал, зуб Гарри, подползая, выбивал,
Он хорош был в бою, а после изнасиловал свинью, 
Ржали все, как один, за это он и отомстил, кретин!

Припев:
А ну-ка, выбей, брат, 
Ему последний зуб!!!
Мы все покойники, 
Он тоже будет труп!!!  "
Северный Флот,"""Северный Флот""

Бешеный ветер рвет паруса,
Старый варяг стоит у руля.
Завтра утонут три корабля,
Обычное дело для моряка.

Припев:
Северный флот, 
Только вперед.
Ублюдки, снять паруса,
На   абордаж!   

В трюме нет мяса, кончилось пиво..
Сколько еще до великого Рима?
Нам будет трудно - это терпимо!
Словно как баба ждет нас нажива!

Припев:
Северный флот,
Только вперед.
Ублюдки, снять паруса,
На абордаж!

Воинов замученных ждут холода,
Северный флот идет вникуда,
Богом забыта эта земля,
Враг будет плакать - все было не зря...  "
Идол,"Казимир в горах идола нашел, 
Взял его на плечи, улыбнулся и пошел,
В этот же момент, черт их подери, 
Люди перед ним возникли, словно из земли, 
Встали все они на его пути,
-""Посмотрите! Олоф к нам явился, во плоти!
Это лицезреть всем нам довелось, 
Древнее пророчество сбылось!""

Припев:
""Привет, вам, друзья и братья, 
У моих не валяйтесь ног!
Должны поскорей понять вы, 
Что я вам никакой не Бог, 
Не Бог!!!""

- ""Что за ерунда?! Раньше никогда
Я себя не чувствовал глупее, чем сейчас!
Люди, е-мое! Вы сошли с ума!
В чем, скажите вы, мое отличие от вас?!
Вышел из толпы медленно пророк, 
- ""Братцы! Перед нами, без сомнения, наш Бог!
Предлагаю всем на колени встать!
Это он и должен был сказать!!!""

Припев:
""Привет, вам, друзья и братья, 
У моих не валяйтесь ног!
Должны поскорей понять вы, 
Что я вам никакой не Бог, 
Не Бог!!!""

Крикнул Казимир - ""Это полный бред!!!
В чем-то я и Бог, но в целом, безусловно, нет!""
Отвечал пророк - ""Это значит, наш Господь, 
Хочет, чтобы в прах мы обратили его плоть!""
Устроили совет, чтоб скорей решить - 
Можно - ли ни разу на земле не согрешить?
Вывели итог лучшие умы - ""Сжечь его, чтоб он ни стал
Таким, как МЫ!!!

Припев:
- ""Привет, вам, друзья и братья, 
У моих не валяйтесь ног!
Должны поскорей понять вы, 
Что я вам никакой не Бог, 
Не Бог!!!""  "
